FinCEN: Core Based Statistical Area (CBSA) Subjects Reported in Recent* MLF SARs (Subjects Per Million Population),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBSA,MSA FIPS,2006 Q1 ,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,Header
"Greenville-Mauldin-Easley, SC",24860,52.5,35.6,36.5,33.2,34.8,33.2,32.4,43.8,43.8,72.9,49.2,46.0,73.0,95.2,54.7,67.2,18.8,15.6,15.6,25.0,14.1,12.5,4.7,9.4,12.6,14.1,Data
"Wichita, KS",48620,17.1,12.0,17.0,30.6,17.0,40.8,20.2,10.1,10.1,11.8,16.6,18.2,33.2,23.2,9.8,27.7,11.4,19.6,13.1,11.4,11.4,9.8,18.0,18.0,1.6,17.7,Data
"Cape Coral-Fort Myers, FL",15980,59.1,84.9,121.9,137.8,167.9,259.7,225.5,300.7,341.7,355.4,256.5,446.7,389.0,375.4,397.0,327.1,32.4,47.7,52.8,27.3,56.2,63.0,23.9,54.5,66.3,76.0,Data
"Boise City-Nampa, ID",14260,209.6,73.5,151.7,70.6,31.8,112.9,66.5,87.0,80.2,114.3,78.5,120.3,98.5,123.6,143.5,168.2,31.3,29.7,34.6,34.6,9.9,16.5,6.6,11.5,3.2,16.2,Data
"Lakeland-Winter Haven, FL",29460,14.9,13.0,25.1,32.3,32.3,70.0,45.3,64.5,78.5,55.8,87.9,112.0,136.1,82.7,99.4,116.6,20.6,36.0,32.6,29.1,15.4,18.9,15.4,36.0,13.3,14.9,Data
"Des Moines-West Des Moines, IA",19780,28.7,23.0,20.6,43.1,16.9,33.7,38.6,97.4,44.1,57.0,45.1,68.6,41.5,34.3,37.3,37.3,16.0,5.3,23.1,19.5,12.4,10.7,19.5,10.7,1.8,7.0,Data
"Madison, WI",31540,72.2,94.4,62.1,71.3,148.1,122.5,91.9,129.8,73.9,151.4,72.9,55.2,55.2,30.2,31.6,47.4,21.1,35.1,21.1,5.3,7.0,5.3,12.3,7.0,3.5,1.8,Data
"Youngstown-Warren-Boardman, OH-PA",49660,12.1,27.6,17.4,12.1,29.5,17.4,15.8,12.3,19.3,15.8,12.4,24.7,37.1,19.4,26.6,17.8,3.6,7.1,7.1,8.9,7.1,1.8,1.8,37.3,8.8,7.1,Data
"Scranton--Wilkes-Barre, PA",42540,21.9,14.6,20.1,34.7,10.9,23.7,25.5,16.4,5.5,36.4,18.2,61.9,7.3,34.6,18.2,18.2,10.9,1.8,3.6,5.5,0.0,0.0,9.1,7.3,8.9,26.6,Data
"Augusta-Richmond County, GA-SC",12260,5.8,30.9,9.6,11.5,34.4,19.1,30.2,20.8,30.2,20.8,18.7,41.2,22.4,28.1,26.0,22.3,14.8,31.5,5.6,16.7,13.0,5.6,16.7,16.7,3.6,3.6,Data
